tourists,periods,years,months
669391,Απριλιος-Ιουνιος,2011,ΑΠΡ
3352934,Ιουλιος-Σεπτεμβριος,2011,ΑΥΓ
345325,Οκτωβριος-Δεκεμβριος,2011,ΔΕΚ
362517,Ιανουαριος-Μαρτιος,2011,ΙΑΝ
2984058,Ιουλιος-Σεπτεμβριος,2011,ΙΟΥΛ
2183411,Απριλιος-Ιουνιος,2011,ΙΟΥΝ
1342966,Απριλιος-Ιουνιος,2011,ΜΑΙ
412673,Ιανουαριος-Μαρτιος,2011,ΜΑΡ
423107,Οκτωβριος-Δεκεμβριος,2011,ΝΟΕ
1428960,Οκτωβριος-Δεκεμβριος,2011,ΟΚΤ
2588707,Ιουλιος-Σεπτεμβριος,2011,ΣΕΠ
333197,Ιανουαριος-Μαρτιος,2011,ΦΕΒ
625837,Απριλιος-Ιουνιος,2012,ΑΠΡ
3269202,Ιουλιος-Σεπτεμβριος,2012,ΑΥΓ
330846,Οκτωβριος-Δεκεμβριος,2012,ΔΕΚ
352320,Ιανουαριος-Μαρτιος,2012,ΙΑΝ
2863095,Ιουλιος-Σεπτεμβριος,2012,ΙΟΥΛ
2043692,Απριλιος-Ιουνιος,2012,ΙΟΥΝ
1179714,Απριλιος-Ιουνιος,2012,ΜΑΙΟΣ
360171,Ιανουαριος-Μαρτιος,2012,ΜΑΡ
392800,Οκτωβριος-Δεκεμβριος,2012,ΝΟΕΜ
1310986,Οκτωβριος-Δεκεμβριος,2012,ΟΚΤ
2522887,Ιουλιος-Σεπτεμβριος,2012,ΣΕΠΤ
266066,Ιανουαριος-Μαρτιος,2012,ΦΕΒ
557496,Απριλιος-Ιουνιος,2013,ΑΠΡ
3885717,Ιουλιος-Σεπτεμβριος,2013,ΑΥΓ
402743,Οκτωβριος-Δεκεμβριος,2013,ΔΕΚ
365604,Ιανουαριος-Μαρτιος,2013,ΙΑΝ
3263920,Ιουλιος-Σεπτεμβριος,2013,ΙΟΥΛ
2372846,Απριλιος-Ιουνιος,2013,ΙΟΥΝ
1467133,Απριλιος-Ιουνιος,2013,ΜΑΙΟΣ
362097,Ιανουαριος-Μαρτιος,2013,ΜΑΡ
435303,Οκτωβριος-Δεκεμβριος,2013,ΝΟΕ
1547626,Οκτωβριος-Δεκεμβριος,2013,ΟΚΤ
2963438,Ιουλιος-Σεπτεμβριος,2013,ΣΕΠ
295652,Ιανουαριος-Μαρτιος,2013,ΦΕΒ
727963,Απριλιος-Ιουνιος,2014,ΑΠΡ
4856356,Ιουλιος-Σεπτεμβριος,2014,ΑΥΓ
537728,Οκτωβριος-Δεκεμβριος,2014,ΔΕΚ
404292,Ιανουαριος-Μαρτιος,2014,ΙΑΝ
4222873,Ιουλιος-Σεπτεμβριος,2014,ΙΟΥΛ
2697469,Απριλιος-Ιουνιος,2014,ΙΟΥΝ
1651703,Απριλιος-Ιουνιος,2014,ΜΑΙ
456654,Ιανουαριος-Μαρτιος,2014,ΜΑΡ
668173,Οκτωβριος-Δεκεμβριος,2014,ΝΟΕΜ
1840599,Οκτωβριος-Δεκεμβριος,2014,ΟΚΤ
3643695,Ιουλιος-Σεπτεμβριος,2014,ΣΕΠΤ
325952,Ιανουαριος-Μαρτιος,2014,ΦΕΒ
